country,goals,shots,shots_on_target,shots_conv_rate,shots_on_target_conv_rate
Argentina,2,24,7,0.08,0.29
Australia,10,97,28,0.1,0.36
Brazil,5,61,20,0.08,0.25
Canada,1,43,12,0.02,0.08
China PR,2,22,7,0.09,0.29
Colombia,6,62,17,0.1,0.35
Costa Rica,1,23,5,0.04,0.2
Denmark,3,40,12,0.07,0.25
England,13,95,39,0.14,0.33
France,12,93,28,0.13,0.43
Germany,6,43,11,0.14,0.55
Haiti,0,23,5,0.0,0.0
Italy,3,41,12,0.07,0.25
Jamaica,1,35,8,0.03,0.12
Japan,14,81,33,0.17,0.42
Korea Republic,1,26,5,0.04,0.2
Morocco,2,24,11,0.08,0.18
Netherlands,12,83,33,0.14,0.36
New Zealand,1,39,9,0.03,0.11
Nigeria,3,53,11,0.06,0.27
Norway,6,66,21,0.09,0.29
Panama,3,24,8,0.12,0.38
Philippines,1,11,2,0.09,0.5
Portugal,2,37,10,0.05,0.2
Rep. of Ireland,1,28,8,0.04,0.12
South Africa,5,48,20,0.1,0.25
Spain,17,155,49,0.11,0.35
Sweden,14,81,28,0.17,0.5
Switzerland,2,29,11,0.07,0.18
USA,4,84,25,0.05,0.16
Vietnam,0,10,2,0.0,0.0
Zambia,3,24,9,0.12,0.33
